"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-02-28,"44333","OH","Akron","Summit","Fairlawn",4617,225500,0.00579839429081177,0.0125729681185451,0.0430157261794635,0.00394879022415529,-0.00554753291761101,"2007-03","2007-Q1",246500,-0.0851926977687627,"2003-11"
2015-02-28,"20720","MD","Washington","Prince Georges","Bowie",4618,359400,0.00475258596589321,0.0161153519932146,0.110287303058387,0.0240072654465182,-0.00309092680021039,"2006-06","2006-Q2",452500,-0.205745856353591,"2005-01"
2015-02-28,"98075","WA","Seattle","King","Sammamish",4619,757700,0.0066427527567424,0.0243341895362985,0.0723181432210586,0.0502399123137711,0.029762797705533,"2015-02","2015-Q1",757700,0,"2015-02"
2015-02-28,"29644","SC","Greenville","Greenville","Fountain Inn",4620,130600,0.00693909020817271,0.0179267342166797,0.0235109717868339,0.00848111422236908,0.0115771708135814,"2013-05","2013-Q2",142600,-0.0841514726507714,"2012-12"
2015-02-28,"07950","NJ","New York","Morris","Parsippany-Troy Hills Township",4621,434400,-0.00298370438375029,-0.0102529049897471,0.0452358036573628,0.00638189953062107,-0.00164252221577044,"2006-02","2006-Q1",487800,-0.109471094710947,"2004-12"
2015-02-28,"07203","NJ","New York","Union","Roselle",4622,165400,-0.00120772946859903,-0.0107655502392344,0.0575447570332481,-0.0288790005360211,-0.0401216909561847,"2007-04","2007-Q2",291100,-0.431810374441773,"2002-08"
2015-02-28,"02152","MA","Boston","Suffolk","Winthrop",4623,372500,0.0105805751492132,0.0191518467852257,0.07939727615184,0.0328584516007475,-0.00101445107422748,"2005-04","2005-Q2",383300,-0.0281763631620141,"2005-02"
2015-02-28,"92603","CA","Los Angeles","Orange","Irvine",4624,1028600,0.00892594409024031,0.0424647815952164,-0.116474832503006,0.0284237204330002,0.00781126547997402,"2013-11","2013-Q4",1203400,-0.145255110520193,"2013-02"
2015-02-28,"98230","WA","Bellingham","Whatcom","Blaine",4625,237900,0.00295109612141653,0.00933389902418328,0.0420499342969777,0.0029686697195721,0.010785473863695,"2007-08","2007-Q3",273300,-0.129527991218441,"2005-09"
2015-02-28,"97060","OR","Portland","Multnomah","Troutdale",4626,227800,0.00352422907488987,0.0137961726746773,0.0454336851766866,0.0221146107209873,0.0142726271345788,"2007-05","2007-Q2",261700,-0.129537638517386,"2005-12"
2015-02-28,"18020","PA","Allentown","Northampton","Bethlehem Township",4627,219200,0.00320366132723112,0.00827966881324747,0.0339622641509434,-0.0110304883364726,-0.00475464837176465,"2006-08","2006-Q3",271300,-0.192038333947659,"2004-11"
2015-02-28,"68128","NE","Omaha","Sarpy","La Vista",4628,157800,0.00317863954227591,0.0233463035019455,0.0920415224913495,0.0333924502882446,0.0187874121903429,"2015-02","2015-Q1",157800,0,"2015-02"
2015-02-28,"28557","NC","Morehead City","Carteret","Morehead City",4629,198000,0.00712105798575788,0.00917431192660551,0.0285714285714286,-0.0137569355568485,0.00736008053013748,"2007-03","2007-Q1",236100,-0.161372299872935,"2005-08"
2015-02-28,"02882","RI","Providence","Washington","Narragansett",4630,393300,0.00203821656050955,0.0079446437724244,0.0252867570385819,0.00230417190363452,-0.0131137234131649,"2005-12","2005-Q4",466200,-0.156370656370656,"2004-06"
2015-02-28,"10543","NY","New York","Westchester","Town of Mamaroneck",4631,596800,-0.00466977985323549,-0.0166419508980063,-0.0463406839245765,-0.00947652503494967,-0.00388678240689688,"2006-07","2006-Q3",690800,-0.136074116965837,"2004-12"
2015-02-28,"30071","GA","Atlanta","Gwinnett","Norcross",4632,117400,0.00945829750644884,0.0298245614035088,0.17048853439681,0.00396495806348596,-0.0212975574421455,"2006-08","2006-Q3",150500,-0.219933554817276,"2000-04"
2015-02-28,"99202","WA","Spokane","Spokane","Spokane",4633,116000,0.00607111882046834,0.00869565217391304,0.012216404886562,-0.00256632982632365,0.0241207824415266,"2007-06","2007-Q2",126200,-0.080824088748019,"2006-07"
2015-02-28,"14610","NY","Rochester","Monroe","Rochester",4634,150600,0.000664451827242525,0.00199600798403194,-0.00396825396825397,0.00281241887504802,0.0128103826241728,"2014-04","2014-Q2",152200,-0.0105124835742444,"2014-01"
2015-02-28,"10303","NY","New York","Richmond","New York",4635,282000,0.00142045454545455,0.00355871886120996,0.0413589364844904,-0.0039942416355877,0.00533029637614457,"2006-12","2006-Q4",329900,-0.145195513792058,"2005-06"
2015-02-28,"30017","GA","Atlanta","Gwinnett","Grayson",4636,200300,0.00703871292106586,0.0203769740193581,0.0671283963771977,0.036290190137072,-0.00163276977915061,"2007-01","2007-Q1",220000,-0.0895454545454545,"2004-09"
2015-02-28,"44055","OH","Cleveland","Lorain","Lorain",4637,51700,-0.00193050193050193,-0.00767754318618042,-0.0461254612546125,-0.0435734905743613,-0.0417550566806539,"2006-06","2006-Q2",81000,-0.361728395061728,"1996-05"
2015-02-28,"61073","IL","Rockford","Winnebago","Roscoe",4638,150700,0.0120886501007388,0.0196211096075778,-0.00528052805280528,-0.0243865615811999,-0.00793686908781011,"2007-06","2007-Q2",185900,-0.189349112426035,"2003-07"
2015-02-28,"17225","PA","Chambersburg","Franklin","Antrim Township",4639,180100,-0.0016629711751663,0,0.0238772029562251,-0.0112689718613912,,"2009-08","2009-Q3",198400,-0.0922379032258065,
2015-02-28,"20646","MD","Washington","Charles","La Plata",4640,316600,0.00412305740564542,0.00699745547073791,0.0397372742200328,-0.00157184053009685,-0.00789033473324963,"2006-08","2006-Q3",425300,-0.255584293439925,"2004-10"
