"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30040","GA","Atlanta-Sandy Springs-Marietta, GA",1268,8,0.971,10.9272,106,5.84070796460177,4.45161290322581
"Zip","30080","GA","Atlanta-Sandy Springs-Marietta, GA",1170,8,0.9781,11.3333,96,2.38938053097345,4.45161290322581
"Zip","30033","GA","Atlanta-Sandy Springs-Marietta, GA",2278,8,0.9681,14.433,97.5,8.05309734513274,4.45161290322581
"Zip","30127","GA","Atlanta-Sandy Springs-Marietta, GA",1230,8,0.9777,12.5714,106.5,5.57522123893805,4.45161290322581
"Zip","30328","GA","Atlanta-Sandy Springs-Marietta, GA",2079,8,0.9546,11.2721,89,5.13274336283186,4.45161290322581
"Zip","30274","GA","Atlanta-Sandy Springs-Marietta, GA",2611,8,0.9948,10.1744,80,0.176991150442478,4.45161290322581
"Zip","30233","GA","Atlanta-Sandy Springs-Marietta, GA",3364,8,0.9075,11.3111,123.5,9.38053097345133,4.45161290322581
"Zip","30656","GA","Atlanta-Sandy Springs-Marietta, GA",3743,8,0.9785,11.284,119,5.2212389380531,4.45161290322581
"Zip","30548","GA","Atlanta-Sandy Springs-Marietta, GA",3676,8,0.9804,12.7604,118.5,6.46017699115044,4.45161290322581
"Zip","30094","GA","Atlanta-Sandy Springs-Marietta, GA",2870,8,0.9712,17.4888,130,9.91150442477876,4.45161290322581
"Zip","30045","GA","Atlanta-Sandy Springs-Marietta, GA",3005,8,0.9767,10.7965,84,0.884955752212389,4.45161290322581
"Zip","30032","GA","Atlanta-Sandy Springs-Marietta, GA",1562,8,0.9579,15.625,85,7.87610619469027,4.45161290322581
"Zip","30016","GA","Atlanta-Sandy Springs-Marietta, GA",1643,8,0.9892,11.9287,97,1.50442477876106,4.45161290322581
"Zip","30046","GA","Atlanta-Sandy Springs-Marietta, GA",2371,8,0.9825,10.0287,95.5,0.79646017699115,4.45161290322581
"Zip","30106","GA","Atlanta-Sandy Springs-Marietta, GA",3507,8,0.9698,11.1111,93.5,3.6283185840708,4.45161290322581
"Zip","30068","GA","Atlanta-Sandy Springs-Marietta, GA",2565,8,0.9745,13.9594,91,4.95575221238938,4.45161290322581
"Zip","30084","GA","Atlanta-Sandy Springs-Marietta, GA",2135,8,0.9799,12.9979,90.5,2.65486725663717,4.45161290322581
"Zip","30082","GA","Atlanta-Sandy Springs-Marietta, GA",2949,8,0.9781,16.5966,95,6.10619469026549,4.45161290322581
"Zip","30101","GA","Atlanta-Sandy Springs-Marietta, GA",1422,8,0.9744,13.2591,97,5.30973451327434,4.45161290322581
"Zip","30071","GA","Atlanta-Sandy Springs-Marietta, GA",3560,8,0.9636,10.7692,89,4.15929203539823,4.45161290322581
"Zip","30228","GA","Atlanta-Sandy Springs-Marietta, GA",2218,8,0.986,10.2228,102.5,1.32743362831858,4.45161290322581
"Zip","30097","GA","Atlanta-Sandy Springs-Marietta, GA",1980,8,0.9723,10.1246,92,2.12389380530973,4.45161290322581
"Zip","30134","GA","Atlanta-Sandy Springs-Marietta, GA",2059,8,0.9623,15.1351,101,9.29203539823009,4.45161290322581
"Zip","30132","GA","Atlanta-Sandy Springs-Marietta, GA",2504,8,0.9936,14.9723,109,6.19469026548673,4.45161290322581
"Zip","30157","GA","Atlanta-Sandy Springs-Marietta, GA",1945,8,0.9868,17.3529,90.5,3.80530973451327,4.45161290322581
"Zip","30039","GA","Atlanta-Sandy Springs-Marietta, GA",2017,8,0.9716,12.1212,117,7.25663716814159,4.45161290322581
"Zip","30143","GA","Atlanta-Sandy Springs-Marietta, GA",3123,8,0.9591,9.186,156,8.23008849557522,4.45161290322581
"Zip","30265","GA","Atlanta-Sandy Springs-Marietta, GA",2718,8,0.9739,12.1884,102,4.86725663716814,4.45161290322581
"Zip","30680","GA","Atlanta-Sandy Springs-Marietta, GA",2097,8,0.9784,12.4767,94,2.83185840707965,4.45161290322581
"Zip","30238","GA","Atlanta-Sandy Springs-Marietta, GA",2472,8,1,10.8059,82.5,0.353982300884956,4.45161290322581
"Zip","30519","GA","Atlanta-Sandy Springs-Marietta, GA",2142,8,0.9705,14.0903,89,6.3716814159292,4.45161290322581
"Zip","30152","GA","Atlanta-Sandy Springs-Marietta, GA",2114,8,0.9689,12.7106,101,6.90265486725664,4.45161290322581
"Zip","30655","GA","Atlanta-Sandy Springs-Marietta, GA",3155,8,0.9643,9.3264,117.5,7.07964601769912,4.45161290322581
"Zip","30096","GA","Atlanta-Sandy Springs-Marietta, GA",942,8,0.9662,9.8765,84,2.30088495575221,4.45161290322581
