"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-02-28,"23464","VA","Virginia Beach","Virginia Beach City","Virginia Beach",58,1558,-0.00256081946222791,-0.00383631713554987,0.00906735751295337,23067
2015-02-28,"94501","CA","San Francisco","Alameda","Alameda",59,3015,0.00667779632721202,0.0279577224684623,0.220153783893161,11412
2015-02-28,"11229","NY","New York","Kings","New York",60,2069,-0.00433108758421559,0.00242248062015504,-0.114297945205479,7023
2015-02-28,"85032","AZ","Phoenix","Maricopa","Phoenix",61,1228,0.00244897959183673,0.00490998363338789,0.0442176870748299,18785
2015-02-28,"60619","IL","Chicago","Cook","Chicago",62,1276,0.00156985871271586,-0.0244648318042813,-0.0259541984732824,12715
2015-02-28,"66062","KS","Kansas City","Johnson","Olathe",63,1702,-0.00351288056206089,0.00235571260306243,0.0185517654099342,19751
2015-02-28,"30043","GA","Atlanta","Gwinnett","Lawrenceville",64,1336,-0.00074794315632012,-0.00074794315632012,0.04375,22450
2015-02-28,"11201","NY","New York","New York","New York",65,3155,0.017741935483871,0.0253493662658434,-0.00723725613593455,4971
2015-02-28,"90034","CA","Los Angeles","Los Angeles","Los Angeles",66,3472,0.00930232558139535,0.019078368065747,0.181354202109561,5264
2015-02-28,"77429","TX","Houston","Harris","Cypress",67,1815,0.00165562913907285,0.00442722744881018,0.0265837104072398,21353
2015-02-28,"94110","CA","San Francisco","San Francisco","San Francisco",68,4413,0.0182279649284725,0.032280701754386,0.199184782608696,8588
2015-02-28,"78660","TX","Austin","Travis","Pflugerville",69,1521,0.00795228628230616,0.0194369973190349,0.0681179775280899,17241
2015-02-28,"97701","OR","Bend","Deschutes","Bend",70,1589,0.00252365930599369,0.00569620253164557,0.0996539792387543,18567
2015-02-28,"75243","TX","Dallas-Fort Worth","Dallas","Dallas",71,1318,0.00380807311500381,0.00228136882129278,0.0427215189873418,10333
2015-02-28,"11377","NY","New York","Queens","New York",72,2293,-0.00130662020905923,0.00924295774647887,0.0714953271028037,2420
2015-02-28,"11234","NY","New York","Kings","New York",73,1965,-0.00957661290322581,-0.0214143426294821,-0.112065070040669,11247
2015-02-28,"07030","NJ","New York","Hudson","Hoboken",74,3019,0.00566289140572951,-0.0023132848645076,0.110334681868334,13974
2015-02-28,"44107","OH","Cleveland","Cuyahoga","Lakewood",75,1189,0.0016849199663016,0.00337552742616034,0.0197255574614065,10504
2015-02-28,"90650","CA","Los Angeles","Los Angeles","Norwalk",76,2081,0.011175898931001,0.0186000978952521,0.0590330788804071,20905
2015-02-28,"77479","TX","Houston","Fort Bend","Sugar Land",77,2511,-0.00475624256837099,-0.0179898318341807,-0.0075098814229249,23220
2015-02-28,"77077","TX","Houston","Harris","Houston",78,2198,0.00641025641025641,0.0328947368421053,0.0806293018682399,11209
2015-02-28,"44035","OH","Cleveland","Lorain","Elyria",79,851,-0.00700116686114352,0,0.0203836930455636,19492
2015-02-28,"90805","CA","Los Angeles","Los Angeles","Long Beach",80,1979,0.00507872016251905,-0.00100959111559818,0.0628356605800215,11186
2015-02-28,"90044","CA","Los Angeles","Los Angeles","Los Angeles",81,1989,-0.00200702458605118,0.00505305709954523,0.12309429700734,8196
2015-02-28,"33139","FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",82,2221,0,0.0253924284395199,0.0881920627143557,21327
2015-02-28,"28277","NC","Charlotte","Mecklenburg","Charlotte",83,1786,0.00506471581316826,0.00960994912379876,0.0549320732427643,21380
2015-02-28,"10019","NY","New York","New York","New York",84,4083,0.00914483440434997,0.0108937855904927,0.0691280439905734,7383
2015-02-28,"78130","TX","San Antonio","Comal","New Braunfels",85,1397,0.00431344356578001,0.0101229211858279,0.0355819125277984,17726
2015-02-28,"92683","CA","Los Angeles","Orange","Westminster",86,2492,0.00564971751412429,0.0105433901054339,0.0391993327773144,15830
2015-02-28,"11207","NY","New York","Kings","New York",87,1847,0.0010840108401084,-0.0289169295478444,-0.060528992878942,3007
