"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01540","Town of Oxford","MA","Worcester, MA","Worcester, MA",,5.51490256018342,,,,212500,0.56791292001893,6.19690154922539,,26.4,0.17302192564347,0.107438016528926,115.5
"Zip","01541","Princeton","MA","Worcester, MA","Worcester, MA",,9.51471150171953,,,,324400,0.99626400996264,9.74289580514208,,12.4,0.115044247787611,0.0384615384615385,115.5
"Zip","01542","Leicester","MA","Worcester, MA","Worcester, MA",,1.47497134123042,,,,222400,0.270513976555455,1.64533820840951,,,0.172413793103448,0.181818181818182,115.5
"Zip","01543","Town of Rutland","MA","Worcester, MA","Worcester, MA",,7.88307222009935,,,,250600,1.1707710940654,6.77460587984661,,22.2,0.174727932285369,0.0657439446366782,115.5
"Zip","01545","Shrewsbury","MA","Worcester, MA","Worcester, MA",,7.37581199847153,,,,338300,0.834575260804769,-1.6855565242662,,16.4,0.0866620354289684,0.0601202404809619,115.5
"Zip","01550","Town of Southbridge","MA","Worcester, MA","Worcester, MA",,1.05559801299198,,,,157300,0.254939451880178,-0.819672131147541,,37,0.273125,0.137299771167048,115.5
"Zip","01560","Grafton","MA","Worcester, MA","Worcester, MA",,8.53935804356133,,,,308300,0.949574328749181,1.01572739187418,,21.1,0.131618759455371,0,115.5
"Zip","01562","Town of Spencer","MA","Worcester, MA","Worcester, MA",,6.720481467329,,,,208500,0.822050290135396,10.3174603174603,,21.3,0.228332337118948,0.0968586387434555,115.5
"Zip","01564","Sterling","MA","Worcester, MA","Worcester, MA",,7.82957585021016,,,,288300,0.733752620545073,4.9890750182083,,14.6,0.113435237329043,0.0780141843971631,115.5
"Zip","01566","Town of Sturbridge","MA","Worcester, MA","Worcester, MA",,4.52235384027512,,,,238800,0.420521446593776,-1.19983450558544,,19.9,0.169037656903766,0.0643564356435644,115.5
"Zip","01568","Upton","MA","Worcester, MA","Worcester, MA",,8.50305693542224,,,,367200,0.962331591971405,2.71328671328671,,19.9,0.106521739130435,0.0408163265306122,115.5
"Zip","01569","Uxbridge","MA","Worcester, MA","Worcester, MA",,6.61444401987008,,,,258200,1.01721439749609,1.61353797717434,,16.9,0.157566302652106,0.0767326732673267,115.5
"Zip","01570","Town of Webster","MA","Worcester, MA","Worcester, MA",,5.23213603362629,,,,205600,0.833742030407062,8.21052631578947,,34.8,0.26129363449692,0.102161100196464,115.5
"Zip","01571","Dudley","MA","Worcester, MA","Worcester, MA",,4.33893771494077,,,,210800,0.476644423260248,2.42954324586978,,19.5,0.193512304250559,0.092485549132948,115.5
"Zip","01581","Westborough","MA","Worcester, MA","Worcester, MA",,8.04929308368361,,,,402800,0.775581686264699,2.20756153260594,,11.6,0.0767716535433071,0.0666666666666667,115.5
"Zip","01583","West Boylston","MA","Worcester, MA","Worcester, MA",,6.23232709209018,,,,241500,0.792988313856427,1.81281618887015,,5.9,0.182669789227166,0.0811965811965812,115.5
