UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52 
437705,"R",10,"R",0,"R",10,"R",4,"R",4,"R",0,"R",0,"R",6
437778,"R",350,"Z",0,"R",350,"R",109,"R",160,"Z",0,"Z",0,"R",190
437857,"R",71,"Z",0,"R",71,"R",1,"R",59,"Z",0,"Z",0,"R",12
437884,"R",126,"R",0,"R",126,"R",102,"R",102,"R",0,"R",0,"R",24
438197,"R",616,"R",1,"R",615,"R",328,"R",363,"R",0,"R",0,"R",252
438267,"R",220,"R",0,"R",220,"R",131,"R",144,"R",0,"R",0,"R",76
438337,"R",341,"R",10,"R",331,"R",0,"R",211,"R",0,"R",2,"R",118
438656,"R",465,"R",0,"R",465,"R",288,"R",302,"R",0,"R",0,"R",163
438674,"R",24,"R",0,"R",24,"R",5,"R",19,"R",0,"R",0,"R",5
438805,"R",846,"R",1,"R",845,"R",393,"R",451,"R",3,"R",1,"R",390
438984,"R",94,"R",0,"R",94,"R",67,"R",69,"R",7,"R",3,"R",15
439039,"R",265,"R",0,"R",265,"R",92,"R",161,"Z",0,"R",0,"R",104
439400,"R",39,"R",0,"R",39,"R",16,"R",16,"R",0,"R",19,"R",4
439473,"R",71,"R",0,"R",71,"R",15,"R",41,"R",3,"R",0,"R",27
439491,"R",99,"R",1,"R",98,"R",39,"R",56,"R",3,"R",0,"R",39
439589,"R",202,"R",0,"R",202,"R",12,"R",124,"R",3,"R",0,"R",75
439622,"R",94,"R",0,"R",94,"R",0,"R",88,"R",0,"R",0,"R",6
439631,"R",35,"R",0,"R",35,"R",33,"R",33,"R",2,"Z",0,"R",0
439668,"R",200,"R",5,"R",195,"R",113,"R",163,"Z",0,"Z",0,"R",32
439686,"R",386,"R",0,"R",386,"R",185,"R",256,"R",0,"R",130,"R",0
439729,"R",18,"R",0,"R",18,"R",9,"R",18,"R",0,"R",0,"R",0
439747,"R",136,"R",0,"R",136,"R",63,"R",118,"R",0,"R",0,"R",18
439774,"R",42,"R",2,"R",40,"R",15,"R",30,"R",0,"R",0,"R",10
439844,"R",40,"R",0,"R",40,"R",26,"R",35,"R",0,"R",0,"R",5
439871,"R",58,"R",0,"R",58,"R",5,"R",40,"R",0,"R",2,"R",16
439932,"R",21,"Z",0,"R",21,"R",3,"R",15,"Z",0,"Z",0,"R",6
439978,"R",79,"R",0,"R",79,"R",26,"R",45,"R",8,"R",0,"R",26
439996,"R",127,"R",0,"R",127,"R",42,"R",89,"R",0,"R",0,"R",38
440077,"R",48,"R",0,"R",48,"R",13,"R",28,"R",0,"R",0,"R",20
440086,"R",251,"R",0,"R",251,"R",76,"R",175,"R",0,"R",0,"R",76
440101,"R",78,"R",0,"R",78,"R",3,"R",47,"R",0,"R",1,"R",30
440217,"R",16,"R",0,"R",16,"R",15,"R",15,"R",0,"R",0,"R",1
440226,"R",113,"R",0,"R",113,"R",71,"R",75,"R",0,"R",15,"R",23
440369,"R",787,"R",0,"R",787,"R",446,"R",498,"R",0,"R",0,"R",289
440721,"R",85,"R",0,"R",85,"R",73,"R",73,"R",0,"R",0,"R",12
440730,"R",664,"Z",0,"R",664,"Z",0,"R",590,"Z",0,"Z",0,"R",74
440846,"R",264,"Z",0,"R",264,"R",87,"R",176,"Z",0,"Z",0,"R",88
440855,"R",274,"Z",0,"R",274,"R",63,"R",179,"Z",0,"Z",0,"R",95
440907,"R",384,"R",0,"R",384,"R",0,"R",227,"R",0,"R",0,"R",157
440952,"R",226,"R",0,"R",226,"R",28,"R",103,"Z",0,"R",0,"R",123
440989,"R",983,"R",0,"R",983,"R",44,"R",416,"R",0,"R",1,"R",566
441016,"R",655,"R",0,"R",655,"R",409,"R",459,"R",0,"R",0,"R",196
441195,"R",25,"R",0,"R",25,"R",15,"R",19,"R",0,"R",0,"R",6
441210,"R",64,"R",0,"R",64,"R",39,"R",40,"R",0,"R",1,"R",23
441256,"R",70,"R",0,"R",70,"R",39,"R",53,"R",2,"R",0,"R",15
441274,"R",79,"R",0,"R",79,"R",0,"R",57,"R",0,"R",0,"R",22
441317,"R",50,"R",0,"R",50,"R",43,"R",43,"R",0,"R",0,"R",7
441353,"R",6,"R",0,"R",6,"R",5,"R",5,"R",0,"R",0,"R",1
441362,"R",451,"R",0,"R",451,"R",193,"R",241,"R",1,"R",0,"R",209
441380,"R",236,"R",0,"R",236,"R",8,"R",35,"Z",0,"R",0,"R",201
441405,"R",51,"R",0,"R",51,"R",10,"R",40,"R",1,"R",0,"R",10
441414,"R",21,"R",0,"R",21,"R",11,"R",11,"R",2,"R",0,"R",8
441423,"R",294,"R",0,"R",294,"R",51,"R",259,"R",0,"R",0,"R",35
441432,"R",134,"Z",0,"R",134,"R",11,"R",21,"R",20,"R",0,"R",93
441548,"R",138,"R",0,"R",138,"Z",0,"R",129,"R",0,"R",4,"R",5
441575,"R",590,"R",0,"R",590,"R",395,"R",442,"R",28,"R",0,"R",120
441593,"R",53,"R",0,"R",53,"R",42,"R",42,"R",0,"R",0,"R",11
441618,"R",32,"R",0,"R",32,"R",25,"R",25,"R",0,"R",0,"R",7
441663,"R",367,"R",0,"R",367,"R",212,"R",277,"R",0,"R",0,"R",90
441672,"R",23,"R",0,"R",23,"R",18,"R",18,"R",0,"R",0,"R",5
441706,"R",127,"R",0,"R",127,"R",119,"R",119,"R",0,"R",0,"R",8
441779,"R",48,"R",0,"R",48,"R",2,"R",21,"R",0,"R",0,"R",27
441830,"R",22,"Z",0,"R",22,"Z",0,"R",16,"Z",0,"R",5,"R",1
441876,"R",96,"R",0,"R",96,"R",27,"R",56,"R",0,"R",10,"R",30
441894,"R",12,"R",0,"R",12,"R",12,"R",12,"R",0,"R",0,"R",0
442073,"R",803,"R",0,"R",803,"R",146,"R",489,"Z",0,"R",2,"R",312
442204,"R",71,"R",0,"R",71,"R",14,"R",66,"R",0,"R",2,"R",3
442240,"R",135,"R",0,"R",135,"R",0,"R",105,"R",0,"R",0,"R",30
442329,"R",900,"R",0,"R",900,"R",375,"R",537,"R",0,"R",0,"R",363
442462,"R",125,"R",0,"R",125,"R",99,"R",104,"R",0,"R",0,"R",21
442620,"R",343,"R",0,"R",343,"R",220,"R",270,"R",0,"R",0,"R",73
442648,"R",265,"R",0,"R",265,"R",199,"R",212,"R",0,"R",0,"R",53
442657,"R",249,"Z",0,"R",249,"R",99,"R",185,"Z",0,"Z",0,"R",64
442727,"R",1062,"R",2,"R",1060,"R",705,"R",779,"R",0,"R",0,"R",281
442736,"R",409,"R",0,"R",409,"R",234,"R",312,"R",0,"R",0,"R",97
442815,"R",561,"R",0,"R",561,"R",274,"R",332,"R",2,"R",0,"R",227
442888,"R",236,"R",0,"R",236,"R",195,"R",195,"R",0,"R",0,"R",41
442958,"R",30,"R",0,"R",30,"R",24,"R",24,"R",0,"R",3,"R",3
442967,"R",28,"Z",0,"R",28,"R",5,"R",18,"R",0,"R",0,"R",10
442976,"R",86,"R",0,"R",86,"R",13,"R",31,"R",0,"R",0,"R",55
442985,"R",92,"R",0,"R",92,"R",14,"R",53,"R",0,"R",0,"R",39
443021,"R",119,"Z",0,"R",119,"R",9,"R",92,"R",18,"R",0,"R",9
443100,"R",62,"R",0,"R",62,"R",10,"R",47,"R",0,"R",10,"R",5
443137,"R",312,"R",0,"R",312,"R",221,"R",239,"R",0,"R",0,"R",73
443146,"R",140,"Z",0,"R",140,"R",40,"R",100,"Z",0,"Z",0,"R",40
443173,"R",14,"R",0,"R",14,"R",1,"R",11,"Z",0,"Z",0,"R",3
443207,"R",629,"R",0,"R",629,"R",523,"R",589,"R",0,"R",0,"R",40
443216,"R",40,"R",0,"R",40,"R",29,"R",29,"Z",0,"R",0,"R",11
443225,"R",63,"R",0,"R",63,"R",8,"R",55,"R",0,"R",0,"R",8
443234,"R",101,"R",0,"R",101,"R",0,"R",57,"R",0,"Z",0,"R",44
443252,"R",637,"R",0,"R",637,"R",525,"R",525,"R",0,"R",0,"R",112
443261,"R",77,"Z",0,"R",77,"R",50,"R",50,"Z",0,"Z",0,"R",27
443298,"R",168,"R",0,"R",168,"R",121,"R",126,"R",0,"R",29,"R",13
443304,"R",12,"R",0,"R",12,"R",12,"R",12,"R",0,"R",0,"R",0
443322,"R",526,"R",0,"R",526,"R",221,"R",251,"R",0,"R",275,"R",0
443359,"R",83,"R",0,"R",83,"R",41,"R",46,"R",0,"R",21,"R",16
443571,"R",170,"R",0,"R",170,"R",143,"R",143,"R",0,"R",0,"R",27
443632,"R",108,"Z",0,"R",108,"R",81,"R",87,"Z",0,"Z",0,"R",21
443641,"R",113,"R",0,"R",113,"R",2,"R",74,"R",0,"R",2,"R",37
443669,"R",340,"Z",0,"R",340,"R",64,"R",223,"Z",0,"Z",0,"R",117
443678,"R",55,"R",0,"R",55,"R",0,"R",41,"R",0,"R",0,"R",14
443845,"R",1271,"R",0,"R",1271,"R",187,"R",522,"R",0,"R",368,"R",381
443951,"R",106,"R",0,"R",106,"R",75,"R",75,"R",0,"R",0,"R",31
443979,"R",37,"R",0,"R",37,"R",19,"R",31,"R",0,"Z",0,"R",6
444079,"R",431,"Z",0,"R",431,"R",114,"R",230,"Z",0,"Z",0,"R",201
444194,"R",20,"R",0,"R",20,"R",13,"R",16,"R",0,"R",0,"R",4
444200,"R",544,"R",1,"R",543,"R",244,"R",302,"R",2,"R",0,"R",239
444228,"R",10,"R",0,"R",10,"R",1,"R",7,"R",0,"R",0,"R",3
444237,"R",520,"R",2,"R",518,"R",273,"R",331,"R",0,"R",0,"R",187
444264,"R",71,"R",0,"R",71,"R",0,"R",41,"R",10,"R",0,"R",20
444282,"R",59,"R",0,"R",59,"R",0,"R",27,"R",0,"R",0,"R",32
444291,"R",66,"R",0,"R",66,"R",1,"R",31,"R",0,"R",0,"R",35
444307,"R",57,"R",0,"R",57,"R",3,"R",31,"R",0,"R",0,"R",26
444325,"R",39,"R",0,"R",39,"R",21,"R",29,"R",0,"R",0,"R",10
444334,"R",176,"R",0,"R",176,"R",20,"R",70,"R",0,"R",64,"R",42
444352,"R",182,"R",0,"R",182,"R",108,"R",108,"R",0,"R",0,"R",74
444370,"R",161,"R",0,"R",161,"R",0,"R",135,"R",0,"R",0,"R",26
444404,"R",69,"R",0,"R",69,"R",47,"R",58,"R",0,"R",9,"R",2
